REGISTRO_SALA;SITUACAO_SALA;DATA_SITUACAO_SALA;ASSENTOS_SALA;ASSENTOS_CADEIRANTES;ASSENTOS_MOBILIDADE_REDUZIDA;ASSENTOS_OBESIDADE;ACESSO_ASSENTOS_COM_RAMPA;ACESSO_SALA_COM_RAMPA;BANHEIROS_ACESSIVEIS;REGISTRO_COMPLEXO
5000756;FECHADA;02/05/2014;170;2;0;0;SIM;NÃO;SIM;2619
5000757;FECHADA;02/05/2014;247;2;0;0;SIM;NÃO;SIM;2619
5000758;FECHADA;02/05/2014;258;2;0;0;SIM;NÃO;SIM;2619
5000759;FECHADA;02/05/2014;187;2;0;0;SIM;NÃO;SIM;2619
5000760;FECHADA;02/05/2014;271;2;0;0;SIM;NÃO;SIM;2619
5000761;FECHADA;02/05/2014;446;2;0;0;SIM;NÃO;SIM;2619
5000762;FECHADA;02/05/2014;271;2;0;0;SIM;NÃO;SIM;2619
5000763;FECHADA;02/05/2014;158;2;0;0;SIM;NÃO;SIM;2619
5000764;FECHADA;02/05/2014;158;2;0;0;SIM;NÃO;SIM;2619
5002846;FECHADA;18/12/2016;118;0;0;0;NÃO;NÃO;NÃO;17037
5002234;FECHADA;01/10/2015;150;10;7;12;SIM;NÃO;SIM;13699
5002989;FECHADA;21/09/2015;136;4;0;0;NÃO;NÃO;NÃO;18056
5002992;FECHADA;21/09/2015;168;4;0;0;NÃO;NÃO;NÃO;18056
5002990;FECHADA;21/09/2015;221;5;0;0;NÃO;NÃO;NÃO;18056
5002991;FECHADA;21/09/2015;173;4;0;0;NÃO;NÃO;NÃO;18056
5002449;FECHADA;23/04/2015;110;0;0;0;NÃO;NÃO;NÃO;14942
5002448;FECHADA;21/05/2015;80;0;0;0;NÃO;NÃO;NÃO;14942
5003023;FECHADA;30/11/2014;85;0;0;0;NÃO;NÃO;NÃO;18453
5003022;FECHADA;30/11/2014;111;0;0;0;NÃO;NÃO;NÃO;18453
5003025;FECHADA;30/11/2014;115;0;0;0;NÃO;NÃO;NÃO;18453
5003024;FECHADA;30/11/2014;111;0;0;0;NÃO;NÃO;NÃO;18453
